Name,Bioguide_ID,Year,State,District,ambition_code,ambition_notes,ran_again,coding_source,redistricted
Bob Good,G000595,2024,VA,5,1,Filed to run for same VA-5 seat in 2026 R primary (challenging incumbent John McGuire) almost immediately after conceding 2024 loss,TRUE,ballotpedia/wikipedia,FALSE
Cori Bush,B001224,2024,MO,1,1,"Filed for MO-1 2026 comeback bid Oct 3, 2025; also launched progressive advocacy/media work with Bowman (April 2025 announcement)",TRUE,ballotpedia/wikipedia,FALSE
Jamaal Bowman,B001223,2024,NY,16,3,Launched Built to Win PAC Feb 2025 to support progressive candidates; media appearances; joint advocacy with Cori Bush; still active in progressive politics,FALSE,ballotpedia/wikipedia,FALSE
Jerry Carl,C001054,2024,AL,1,1,Filed to run for AL-1 again in 2026 R primary (Moore running for Senate); faces competition from state Rep. Rhett Marques and others,TRUE,ballotpedia/wikipedia,TRUE
Andy Levin,L000592,2022,MI,11,3,"became distinguished senior fellow at Center for American Progress, 2023; prominent advocacy on labor/democracy issues",FALSE,ballotpedia/wikipedia,TRUE
Carolyn Bourdeaux,B001312,2022,GA,7,3,executive director of Concord Coalition (fiscal policy advocacy org) since 2025,FALSE,ballotpedia/wikipedia,TRUE
Carolyn Maloney,M000087,2022,NY,12,4,retired from politics after 30-year career; no further electoral activity,FALSE,ballotpedia/wikipedia,TRUE
David McKinley,M001180,2022,WV,2,4,returned to private sector / engineering; discussed possible 2024 governor run but did not file,FALSE,ballotpedia/wikipedia,TRUE
Jaime Herrera Beutler,H001056,2022,WA,3,2,"ran for WA Commissioner of Public Lands 2024, lost general; also worked as strategic adviser at Children's Hospital Assoc.",TRUE,ballotpedia/wikipedia,FALSE
Kurt Schrader,S001180,2022,OR,5,4,returned to private life (veterinarian/farmer); no further electoral activity identified,FALSE,ballotpedia/wikipedia,FALSE
Liz Cheney,C001109,2022,WY,1,3,professor at UVA Center for Politics 2023Ðpresent; prominent anti-Trump advocacy; published memoir 2023; endorsed Harris 2024,FALSE,ballotpedia/wikipedia,FALSE
Madison Cawthorn,C001104,2022,NC,11,2,announced 2026 House campaign in FL-19 (different seat); moved to Florida post-Congress,TRUE,ballotpedia/wikipedia,FALSE
